,PCA
0,142.13036
1,120.15814
2,100.38003
3,81.55863
4,60.921135
5,57.404453
6,41.33203
7,40.08737
8,35.49588
9,28.88947
10,27.312983
11,24.972782
12,24.222382
13,20.994434
14,18.914145
15,18.325426
16,16.378494
17,15.962362
18,14.738133
19,14.291676
20,13.827874
21,12.182064
22,11.560147
23,10.992225
24,10.511437
25,9.987474
26,9.40386
27,9.150697
28,8.9098835
29,8.557628
30,8.348172
31,7.7235622
32,7.475711
33,7.2409763
34,6.853034
35,6.8336315
36,6.718398
37,6.6195784
38,6.3376927
39,6.173181
40,5.8816485
41,5.5861516
42,5.325992
43,5.255085
44,5.1420293
45,4.9088902
46,4.9020925
47,4.7544904
48,4.6334205
49,4.5223417
50,4.4365454
51,4.2091827
52,4.202173
53,4.0860405
54,4.026666
55,3.8356946
56,3.7262015
57,3.7037828
58,3.556554
59,3.4898243
60,3.4335678
61,3.3321707
62,3.2507608
63,3.2313747
64,3.0887167
65,3.063914
66,2.9624193
67,2.9383638
68,2.8890367
69,2.821089
70,2.7624993
71,2.6983285
72,2.6220787
73,2.5983112
74,2.5657487
75,2.5033407
76,2.4427838
77,2.4013765
78,2.34464
79,2.3139586
80,2.2870505
81,2.2703648
82,2.1924999
83,2.1346471
84,2.1236145
85,2.0906475
86,2.0593712
87,2.0323505
88,2.019065
89,1.9794738
90,1.9537451
91,1.9149501
92,1.9037772
93,1.8600252
94,1.8404828
95,1.8012558
96,1.755415
97,1.7276785
98,1.710627
99,1.687039
100,1.670587
101,1.637774
102,1.5986137
103,1.5882198
104,1.579546
105,1.5541586
106,1.540213
107,1.5120862
108,1.4916803
109,1.4710938
110,1.4684131
111,1.4445927
112,1.4241104
113,1.4026604
114,1.3673586
115,1.350984
116,1.3451496
117,1.3361444
118,1.3214141
119,1.3019466
120,1.285202
121,1.2699664
122,1.2676843
123,1.2517648
124,1.2397945
125,1.2152454
126,1.2055022
127,1.1930602
128,1.184788
129,1.1714393
130,1.1637195
131,1.1556172
132,1.134949
133,1.1237147
134,1.1122141
135,1.0897291
136,1.0814556
137,1.0756719
138,1.06593
139,1.0456152
140,1.0424742
141,1.0330818
142,1.0288019
143,1.0090882
144,0.99821573
145,0.9871904
146,0.98132163
147,0.97969586
148,0.9673596
149,0.9591637
150,0.95318735
151,0.9382673
152,0.9343238
153,0.9272078
154,0.9133077
155,0.9119354
156,0.89978313
157,0.8953488
158,0.889889
159,0.8725841
160,0.86580163
161,0.859957
162,0.85774404
163,0.8491719
164,0.8473114
165,0.83310294
166,0.8233779
167,0.81929356
168,0.8046954
169,0.7988452
170,0.7958518
171,0.79160076
172,0.78485686
173,0.78242886
174,0.7734745
175,0.7611187
176,0.7557994
177,0.7507345
178,0.7414055
179,0.7332839
180,0.7306663
181,0.7257937
182,0.7226845
183,0.7148303
184,0.7128078
185,0.7044838
186,0.7000116
187,0.69037396
188,0.68397975
189,0.6793201
190,0.6758415
191,0.6718337
192,0.669997
193,0.66271436
194,0.6590669
195,0.65074253
196,0.6457881
197,0.63732463
198,0.6349531
199,0.6316241
200,0.6246925
201,0.6217262
202,0.6147648
203,0.60847735
204,0.6055433
205,0.603568
206,0.5995479
207,0.5902573
208,0.5874308
209,0.58343667
210,0.5801644
211,0.5766644
212,0.5753011
213,0.56779253
214,0.5624026
215,0.55687004
216,0.5542608
217,0.54627424
218,0.54385185
219,0.5388321
220,0.53754324
221,0.53042895
222,0.52764356
223,0.52563435
224,0.52096874
225,0.51966375
226,0.5105645
227,0.50956404
228,0.507671
229,0.50444597
230,0.50082326
231,0.49997476
232,0.49758917
233,0.4931816
234,0.49078944
235,0.48678088
236,0.4834084
237,0.48064366
238,0.47938505
239,0.47656775
240,0.47041047
241,0.46826255
242,0.46447077
243,0.46057215
244,0.4575824
245,0.45360532
246,0.45017633
247,0.44423735
248,0.44334817
249,0.44144663
250,0.43737608
251,0.43560797
252,0.43393517
253,0.43034372
254,0.42928472
255,0.42525044
256,0.4226085
257,0.41899562
258,0.41379404
259,0.4134183
260,0.41017032
261,0.4093017
262,0.40696365
263,0.40477577
264,0.4025946
265,0.40013307
266,0.39742613
267,0.39212108
268,0.39111108
269,0.38896444
270,0.388267
271,0.38565058
272,0.38247544
273,0.3813357
274,0.37899432
275,0.37234715
276,0.3713167
277,0.3699621
278,0.36878002
279,0.3654512
280,0.36213267
281,0.36159
282,0.35907203
283,0.3547905
284,0.35433704
285,0.3506516
286,0.3491582
287,0.3450546
288,0.34212053
289,0.34147823
290,0.33827445
291,0.33791146
292,0.3342429
293,0.33126026
294,0.32864848
295,0.32681355
296,0.3263631
297,0.32498398
298,0.3200673
299,0.3178052
300,0.31647772
301,0.31445307
302,0.31221914
303,0.31101212
304,0.30969524
305,0.30917627
306,0.30643606
307,0.3050067
308,0.3032612
309,0.29933804
310,0.29909682
311,0.29780725
312,0.29598925
313,0.29294646
314,0.29045153
315,0.28806284
316,0.28671473
317,0.2848186
318,0.28464168
319,0.28132161
320,0.28040794
321,0.2785885
322,0.27733216
323,0.27528194
324,0.2742373
325,0.2718022
326,0.27045083
327,0.2700404
328,0.26725283
329,0.26528153
330,0.26381022
331,0.26125398
332,0.26047853
333,0.258398
334,0.25794095
335,0.2559142
336,0.25312346
337,0.25182602
338,0.25082728
339,0.2501882
340,0.24873665
341,0.2461496
342,0.24519552
343,0.24328187
344,0.24145573
345,0.24007255
346,0.23725808
347,0.23579015
348,0.23471756
349,0.23344012
350,0.23205382
351,0.23079595
352,0.22982356
353,0.22782737
354,0.22714844
355,0.22578102
356,0.22412325
357,0.22262914
358,0.22042719
359,0.22027086
360,0.21723218
361,0.21592547
362,0.21546505
363,0.21340424
364,0.21105847
365,0.20966768
366,0.20844042
367,0.20750442
368,0.20610107
369,0.205944
370,0.20519687
371,0.20413291
372,0.2021252
373,0.20117518
374,0.20093548
375,0.19949493
376,0.19687523
377,0.1955959
378,0.19491465
379,0.19365008
380,0.19250618
381,0.19152941
382,0.1886632
383,0.18795916
384,0.18733352
385,0.18527423
386,0.1850658
387,0.18311262
388,0.18253143
389,0.18225989
390,0.17990415
391,0.17870262
392,0.17733452
393,0.17679629
394,0.17626812
395,0.17418522
396,0.17397906
397,0.17288609
398,0.17147163
399,0.16856788
400,0.16752793
401,0.16600631
402,0.1658471
403,0.16394454
404,0.16282447
405,0.16144481
406,0.16102251
407,0.1603151
408,0.1593122
409,0.15872154
410,0.15742524
411,0.15628897
412,0.15547124
413,0.1543527
414,0.1523192
415,0.15196806
416,0.15052482
417,0.15000783
418,0.14869359
419,0.14817564
420,0.14637306
421,0.145137
422,0.14446644
423,0.14396176
424,0.14283825
425,0.14166379
426,0.1393462
427,0.13853823
428,0.13766304
429,0.13629302
430,0.13516895
431,0.13484879
432,0.1333054
433,0.13179275
434,0.13093649
435,0.12966625
436,0.12894724
437,0.12793078
438,0.12755242
439,0.12669201
440,0.12499043
441,0.12448251
442,0.1234249
443,0.121591754
444,0.1212304
445,0.12022751
446,0.11900235
447,0.11796483
448,0.11671263
449,0.11643115
450,0.11500986
451,0.11413396
452,0.11200924
453,0.11111725
454,0.110636786
455,0.110559486
456,0.10879679
457,0.10772819
458,0.106718145
459,0.10514528
460,0.10337444
461,0.10272449
462,0.10169471
463,0.100294486
464,0.09964703
465,0.09864593
466,0.096755125
467,0.09588172
468,0.09541536
469,0.09362794
470,0.093131304
471,0.092609555
472,0.091947
473,0.090546235
474,0.08994295
475,0.08835287
476,0.08746271
477,0.08702666
478,0.08570448
479,0.08350197
480,0.08232018
481,0.080463275
482,0.07960562
483,0.07813346
484,0.076513946
485,0.07503859
486,0.07336216
487,0.07224102
488,0.070053
489,0.06790218
490,0.06678466
491,1.4879398e-10
